singer,song_name
老圈c, 雨過了天晴
陳妍臻, Thinking of you
Alan Walker, Time(Alan Walker Remix)
Alan Walker," Alone, Pt. II"
Alan Walker, Man On The Moon
馮光, 九九八十一
Next☆Rico, 最後にズルいよ
Alan Walker, Paradise
Alan Walker, Out Of Love
Alan Walker, Sorry
Alan Walker, Red Nexus Rising - Interlude
Alan Walker, Fake A Smile
Alan Walker, On My Way
Alan Walker, Drone Wars -(Instrumental)
Alan Walker, World We Used To Know
Alan Walker, Hummell Gets The Rockets(Alan Walker Remix)
Alan Walker, Heading Home
Alan Walker, OK
劉瑞琦, 抽獎
BiS, 柏木由紀なりのBiS-ANYTiME ANYTHiNG-
Alan Walker, Not You
EXILE ATSUSHI, I always love you ～いつもそばに～
EGOIST, Tonight Tonight
EGOIST, BANG!!!
林俊傑, After The Rain
WON, ありきたり
13月終了, 序
13月終了, 彎彎夜星
13月終了, 終
羅賓文, 成功回故鄉
ASP, 柏木由紀なりのASP-AGAiNST THE WORLD-
羅賓文, 神奇的馬
羅賓文, 香吻
羅賓文, 樣樣都起價
羅賓文, 出外靠朋友
羅賓文, 全都是為了你
羅賓文, 客家人係有料
羅賓文, 奉獻
羅賓文, 不敢說愛你
羅賓文, 堅持
羅賓文, 我問天
羅賓文, 迷魂香
蘇子, 檳城是個好地方
蘇子, 思鄉
蘇子, 尋
蘇子, 一個人的寂寞二個人的錯
蘇子, 愛人吹喇叭
蘇子, 想念你
蘇子, 為什麼愛上你
蘇子, 迴
蘇子, 我的要求並不高
蘇子, 是你犯的錯
蘇子, 灌醉
蘇子, 真情
孫北北, 乘客
PARADISES, 柏木由紀なりのPARADISES-夏のバカヤロー-
GO TO THE BEDS, 柏木由紀なりのGO TO THE BEDS-TRUE SONG-
豆柴の大群, 柏木由紀なりの豆柴の大群-ずっと気になるズッキーニ-
Nosleep Child, 白鹿與鯨
EMPiRE, 柏木由紀なりのEMPiRE-時間が足りない-
陳寶雯, 曙光
張鈺琪, Golden Gate(Babychair Remix)
張鈺琪, Sad Song For The Future
兩次元睡不醒, 再一次互相擁吻
劉蘊晴, Good night mama
趙喜茗, What's Your Dream
吉岡聖恵, まっさら
THE BEAT GARDEN, ROMANCE
ナナヲアカリ, 学校だるい学校だるい学校だるい
丁童, 狠不下心捨不得你
血みどろバニーちゃん, あゝ荒野
雲菲菲, 愛的俘虜
林昱志, 明天的太陽
Doudou, 不如我們換上搖粒絨
張丹鋒, 孤述
y1fun9, 還沒發送的訊息outro
宇多田ヒカル, 君に夢中
HAYA樂團, 我有我的樣
張銘峰, 還有一種語言
Dios, ダークルーム
張銘峰, 翱翔
張銘峰, 我們來了
